County,Latitude,Longitude
baringo,0.494,35.744
bomet,-0.7813,35.3416
bungoma,0.7833,34.7167
busia,0.4633,34.1053
elgeyo/marakwet,0.6731,35.5083
embu,-0.5389,37.4583
garissa,-0.4569,39.6583
homa bay,-0.5167,34.45
isiolo,0.35,37.5833
kajiado,-1.4,36.77
kakamega,0.3333,34.4833
kericho,-0.3692,35.2839
kiambu,-1.25,36.6667
kilifi,-3.6333,39.85
kirinyaga,-0.5,37.2833
kisii,-0.6833,34.7667
kisumu,-0.0833,34.7667
kitui,-1.3667,38.0167
kwale,-4.555,39.1231
laikipia,0.26,36.5363
lamu,-2.2694,40.9022
machakos,-1.5167,37.2667
makueni,-1.7833,37.6333
mandera,3.9167,41.8333
marsabit,2.3333,37.9833
meru,0.05,37.65
migori,-1.0634,34.4731
mombasa,-4.05,39.6667
muranga,-0.7167,37.15
nairobi,-1.2864,36.8172
nakuru,-0.3,36.0667
nandi,0.1003,35.1764
narok,-1.0833,35.8667
nyamira,-0.521,34.914
nyandarua,-0.273,36.378
nyeri,-0.4167,36.95
samburu,1.1,36.7
siaya,0.0667,34.2833
tharaka,0.3229,37.6546
taita taveta,-3.5047,38.3778
tana river,-1.5,40.0333
trans nzoia,1.0167,35
turkana,3.1167,35.6
uasin gishu,0.5167,35.2833
vihiga,0.05,34.725
wajir,1.75,40.05
west pokot,1.2333,35.1167
